gender,spayed_or_neutered,number_of_bites,number_of_dogs,percentage_of_bites_in_total,percentage_of_dogs_in_total,bite_versus_population_ratio
F,True,1897,101980,13.146223146223146,31.17720071660481,0.42166143348532054
F,False,2091,45603,14.490644490644492,13.941693315153255,1.0393747849046844
M,True,4570,124045,31.670131670131667,37.92288549608986,0.8351192493882644
M,False,5872,55470,40.69300069300069,16.958220472152078,2.3996032343030715
